Year,Month,ConsumptionProrated_Total,Consumption_Total,date
2020,Jan,202240594.82027915,196229788.0,2020-01-01
2020,Feb,184185657.5899228,187450952.0,2020-02-01
2020,Mar,200444243.93368268,186244022.0,2020-03-01
2020,Apr,187662941.68962663,187060873.0,2020-04-01
2020,May,190346378.080178,183588538.0,2020-05-01
2020,Jun,177199068.68677193,176805821.2292019,2020-06-01
2020,Jul,181909857.97827727,176253448.60071847,2020-07-01
2020,Aug,183236806.97483045,183759163.1700796,2020-08-01
2020,Sep,172755857.7425826,165815907.66000003,2020-09-01
2020,Oct,184893626.05278757,173073102.60666668,2020-10-01
2020,Nov,180859670.5463492,178943457.3,2020-11-01
2020,Dec,194990634.4534588,180817549.1,2020-12-01
2021,Jan,204109634.87464803,187167565.0,2021-01-01
2021,Feb,189964960.96426484,194114038.9333333,2021-02-01
2021,Mar,202855614.58009556,178824095.59999996,2021-03-01
2021,Apr,189358242.69379777,189988257.51666665,2021-04-01
2021,May,202343073.94039536,185043330.2833333,2021-05-01
2021,Jun,197440449.11709264,188251492.71666664,2021-06-01
2021,Jul,199458346.14948577,184037236.65000004,2021-07-01
2021,Aug,196480324.59969977,183802659.0333333,2021-08-01
2021,Sep,191314493.9061632,178702778.6,2021-09-01
2021,Oct,200396248.40888077,178600308.049,2021-10-01
2021,Nov,199606407.08037743,181051849.964,2021-11-01
2021,Dec,219227901.3942257,187758168.37,2021-12-01
2022,Jan,229814515.08850655,201434170.763,2022-01-01
2022,Feb,213290048.56834373,197671352.714,2022-02-01
2022,Mar,219252196.91389707,176800060.16000003,2022-03-01
2022,Apr,214667184.53936663,184654044.67,2022-04-01
2022,May,215334809.00589883,176517343.16200003,2022-05-01
2022,Jun,208780636.05222625,176884216.32399997,2022-06-01
2022,Jul,208845107.5017852,168156138.10759997,2022-07-01
2022,Aug,203433336.05599105,167363746.8526,2022-08-01
2022,Sep,204268751.3353728,169871655.50407997,2022-09-01
2022,Oct,215054529.6897052,167570368.23435998,2022-10-01
2022,Nov,210750088.4656534,175212574.37536,2022-11-01
2022,Dec,229916090.6100787,182621507.76648,2022-12-01
2023,Jan,249141692.4044407,187202346.73964,2023-01-01
2023,Feb,220645589.24265203,185874139.43611,2023-02-01
2023,Mar,229067234.50533247,174434779.96759,2023-03-01
2023,Apr,212957907.7639849,174947952.58148,2023-04-01
2023,May,230708034.19456264,177859938.9692,2023-05-01
2023,Jun,228875746.6074137,178033530.46139,2023-06-01
2023,Jul,220599214.68426192,170529942.74681002,2023-07-01
2023,Aug,215930901.66560647,168439173.44019997,2023-08-01
2023,Sep,217523641.02296436,170704968.82650998,2023-09-01
2023,Oct,228558042.6420209,171765228.29359,2023-10-01
2023,Nov,220980314.63693744,171563489.80436,2023-11-01
2023,Dec,234967816.7409198,172605621.92813,2023-12-01
2024,Jan,245619016.2131424,181207892.72851,2024-01-01
2024,Feb,227430016.06221908,186940332.29509,2024-02-01
2024,Mar,245659642.9931917,168549396.26522002,2024-03-01
2024,Apr,238399076.76834023,186349086.17195,2024-04-01
2024,May,245586333.6798677,186098773.25158003,2024-05-01
2024,Jun,231996370.57967424,178573169.96616,2024-06-01
2024,Jul,226537222.3737947,172222949.56180003,2024-07-01
2024,Aug,219058607.57434863,167610630.18708,2024-08-01
2024,Sep,219626313.3840856,166355840.10857928,2024-09-01
2024,Oct,230183747.9800608,178402671.02158076,2024-10-01
2024,Nov,235306693.37898985,169445919.86096,2024-11-01
2024,Dec,252111827.7880646,181409119.712,2024-12-01
2025,Jan,259715741.4828364,191968927.86772537,2025-01-01
2025,Feb,231926695.0424572,179823233.27683708,2025-02-01
2025,Mar,250727429.91720048,174126893.53010425,2025-03-01
2025,Apr,238185787.95245105,181338716.7033333,2025-04-01
2025,May,245900456.76587832,178338426.4155073,2025-05-01
2025,Jun,234422320.0965213,176380912.26311707,2025-06-01
2025,Jul,229413355.3715565,169673952.41998005,2025-07-01
2025,Aug,224651669.0684607,167527499.76825017,2025-08-01
2025,Sep,228421501.41109288,173766454.1112407,2025-09-01
2025,Oct,233025430.70549804,172331899.66857144,2025-10-01
